epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,685.067,0.89391,0.47782,1.05547,0.88714,0.85225,0.88505,0.54427,1.30181,0.59479,1.39086,0.000637288,0.000637288,0.000637288
68,695.197,0.91035,0.47819,1.06309,0.90481,0.84205,0.88976,0.53985,1.32126,0.60633,1.39877,0.000629836,0.000629836,0.000629836
69,705.363,0.88412,0.46532,1.03794,0.88208,0.85343,0.88514,0.53654,1.3171,0.59896,1.38756,0.000622384,0.000622384,0.000622384
70,715.47,0.88812,0.46574,1.05726,0.88252,0.85083,0.88703,0.54528,1.32131,0.59371,1.40082,0.000614931,0.000614931,0.000614931
71,725.639,0.89701,0.47586,1.05635,0.88317,0.84662,0.87946,0.54128,1.30728,0.60256,1.39263,0.000607479,0.000607479,0.000607479
72,735.804,0.88146,0.46305,1.04601,0.88534,0.85475,0.88375,0.53736,1.31836,0.60087,1.40554,0.000600026,0.000600026,0.000600026
73,745.93,0.89178,0.4681,1.05814,0.8921,0.8602,0.88972,0.54812,1.29325,0.58502,1.38837,0.000592574,0.000592574,0.000592574
74,756.416,0.89292,0.4655,1.04674,0.87436,0.85623,0.87903,0.54061,1.30927,0.59889,1.41552,0.000585122,0.000585122,0.000585122
75,766.676,0.87269,0.46244,1.04978,0.89098,0.85913,0.88756,0.53989,1.31623,0.5903,1.41816,0.000577669,0.000577669,0.000577669
76,776.83,0.86072,0.45555,1.04315,0.88951,0.87173,0.8932,0.54914,1.30394,0.59456,1.38039,0.000570217,0.000570217,0.000570217
77,787.19,0.86105,0.4521,1.04118,0.8912,0.86148,0.89214,0.54374,1.30566,0.57802,1.38345,0.000562765,0.000562765,0.000562765
78,797.333,0.83982,0.44262,1.03128,0.87679,0.87108,0.89139,0.55101,1.2965,0.59151,1.38735,0.000555312,0.000555312,0.000555312
79,807.838,0.85697,0.44927,1.03878,0.89631,0.86397,0.89407,0.54503,1.3006,0.58455,1.39896,0.00054786,0.00054786,0.00054786
80,817.923,0.83886,0.43683,1.01993,0.89424,0.87658,0.88993,0.54389,1.31279,0.59125,1.40526,0.000540408,0.000540408,0.000540408
81,828.037,0.8341,0.43869,1.02163,0.88706,0.85884,0.88014,0.54537,1.29154,0.57347,1.39899,0.000532955,0.000532955,0.000532955
82,838.125,0.83742,0.43744,1.02652,0.89895,0.86532,0.89248,0.5438,1.3065,0.5785,1.40014,0.000525503,0.000525503,0.000525503
